Location,MAC Address,Avg signal strength,"standard deviation, if applicable",sample size
231,0c:27:24:50:64:ec,-90,0,3
231,0c:27:24:50:65:c0,-87,0,8
231,0c:27:24:50:65:c1,-87,0,2
231,0c:27:24:50:65:c2,-87,0,2
231,0c:27:24:50:65:c3,-87,1.4142135,9
231,0c:27:24:51:57:50,-71.818184,0.8331956,11
231,0c:27:24:51:57:51,-69.5,2.3345234,10
231,0c:27:24:51:57:52,-69.7,4.1243176,10
231,0c:27:24:51:57:53,-69.5,1.8574176,10
231,0c:27:24:51:57:54,-61.8,6.3686733,5
231,0c:27:24:51:57:5b,-88.3,5.1195703,10
231,0c:27:24:51:57:5d,-81,0,3
231,0c:27:24:51:57:5e,-85.7,0.45825756,10
231,0c:27:24:51:57:5f,-84.6,4.4090815,5
231,0c:27:24:aa:94:20,-82,0,3
231,0c:27:24:aa:94:21,-77,0,6
231,0c:27:24:aa:94:22,-83,0,3
231,0c:27:24:aa:94:24,-79,1,2
231,0c:27:24:aa:94:2c,-91,0,3
231,30:b5:c2:b2:5c:dd,-88,0,10
231,30:b5:c2:b2:5c:de,-65.583336,1.8008485,12
231,42:72:e8:df:8d:fc,-85.833336,2.8528738,6
231,58:97:bd:31:04:60,-66.166664,0.372678,12
231,58:97:bd:31:04:61,-65.454544,2.189381,11
231,58:97:bd:31:04:62,-67,0,8
231,58:97:bd:31:04:63,-65.8,1.2489996,10
231,58:97:bd:31:04:64,-67,0,9
231,58:97:bd:31:04:6b,-73.916664,2.7220802,12
231,58:97:bd:31:04:6c,-74.5,2.7233558,12
231,58:97:bd:31:04:6d,-73.083336,1.4976833,12
231,58:97:bd:31:04:6e,-72.666664,2.0138414,12
231,58:97:bd:31:04:6f,-72.833336,1.8633902,12
231,58:97:bd:38:00:01,-84,0,1
231,58:97:bd:38:00:0b,-89,0,1
231,58:97:bd:38:00:0c,-88.5,1.5,6
231,58:97:bd:38:00:0d,-88,0,1
231,58:97:bd:38:00:0e,-85.666664,0.94280905,9
231,58:97:bd:38:00:0f,-87,0,3
231,58:97:bd:38:0a:d0,-70.8,0.97979593,5
231,58:97:bd:38:0a:d1,-69.1,0.29999998,10
231,58:97:bd:38:0a:d2,-69.5,1,8
231,58:97:bd:38:0a:d3,-72,0,10
231,58:97:bd:38:0a:d4,-70.3,1.3453624,10
231,58:97:bd:38:0a:db,-69.833336,2.9107084,12
231,58:97:bd:38:0a:dc,-68.916664,4.5177116,12
231,58:97:bd:38:0a:dd,-69.166664,1.8633902,12
231,58:97:bd:38:0a:de,-68.583336,2.2157896,12
231,58:97:bd:38:0a:df,-68.083336,2.1392498,12
231,58:97:bd:3d:ef:1b,-85.36364,0.8813963,11
231,58:97:bd:3d:ef:1c,-86,0.70710677,4
231,58:97:bd:3d:ef:1d,-86,1.2909944,12
231,58:97:bd:3d:ef:1e,-86.6,1.9595917,10
231,58:97:bd:3d:ef:1f,-86.36364,1.2264307,11
231,58:97:bd:3d:f4:3b,-79.9,1.1357816,10
231,58:97:bd:3d:f4:3c,-71.5,7.7942286,4
231,58:97:bd:3d:f4:3d,-77.333336,2.2110832,12
231,58:97:bd:3d:f4:3e,-76.416664,1.9346977,12
231,58:97:bd:3d:f4:3f,-76.583336,2.3964672,12
231,5c:83:8f:27:22:60,-73.818184,1.526623,11
231,5c:83:8f:27:22:61,-73.611115,2.18934,18
231,5c:83:8f:27:22:62,-75.181816,2.4796693,22
231,5c:83:8f:27:22:63,-76,1.3228756,8
